"Leeftijd"
Key;Title;Description
" 10000";"Totaal alle leeftijden";
" 10010";"0 jaar";"Leeftijd op het moment van overlijden."
" 51300";"1 tot 5 jaar";"Leeftijd op het moment van overlijden."
" 70200";"5 tot 10 jaar";"Leeftijd op het moment van overlijden."
" 70300";"10 tot 15 jaar";"Leeftijd op het moment van overlijden."
" 70400";"15 tot 20 jaar";"Leeftijd op het moment van overlijden."
" 70500";"20 tot 25 jaar";"Leeftijd op het moment van overlijden."
" 70600";"25 tot 30 jaar";"Leeftijd op het moment van overlijden."
" 70700";"30 tot 35 jaar";"Leeftijd op het moment van overlijden."
" 70800";"35 tot 40 jaar";"Leeftijd op het moment van overlijden."
" 70900";"40 tot 45 jaar";"Leeftijd op het moment van overlijden."
" 71000";"45 tot 50 jaar";"Leeftijd op het moment van overlijden."
" 71100";"50 tot 55 jaar";"Leeftijd op het moment van overlijden."
" 71200";"55 tot 60 jaar";"Leeftijd op het moment van overlijden."
" 71300";"60 tot 65 jaar";"Leeftijd op het moment van overlijden."
" 71400";"65 tot 70 jaar";"Leeftijd op het moment van overlijden."
" 71500";"70 tot 75 jaar";"Leeftijd op het moment van overlijden."
" 71600";"75 tot 80 jaar";"Leeftijd op het moment van overlijden."
" 71700";"80 tot 85 jaar";"Leeftijd op het moment van overlijden."
" 71800";"85 tot 90 jaar";"Leeftijd op het moment van overlijden."
" 71900";"90 tot 95 jaar";"Leeftijd op het moment van overlijden."
" 22000";"95 jaar of ouder";"Leeftijd op het moment van overlijden."
